Family Office,Metro Area,AUM,LinkedIn,Website,Notes,City,Description,Connections,Action Items:,Discussed
Blue Haven Initiative,Boston,"$500,000,000.00 ",https://www.linkedin.com/company/blue-haven-initiative/people/,https://www.bluehaveninitiative.com,Renee Beaumont (Board): Bert Roberts (Sorensen) and James Eisenstein). ,Cambridge,"Blue Haven Initiative is an innovative family office dedicated to putting wealth to work for competitive returns and positive social and environmental change. Investing with high standards to maximize financial performance and public benefit, it manages a diversified investment portfolio across asset classes, from public equities and fixed-income holdings to private equity and direct investments.",2nd Tier Connections,"TC:  James Eisenstein
",checked
Cove Capital Corp.,Boston,"$350,000,000.00 ",Barney Corning,http://www.covecc.com/,"the principal family was a founding investor in Greylock Partners and has taken active hands-on involvement in firms such as Velocity Equity Partners, Corning Partners, Affinity Capital, etc
Barney Corning has something to do with Trinity College
Connected to Leigh Michl, Pete Mattoon and John Landry

	",Boston,"Cove Capital is a private family company serving the needs of branches of a single family with a primary mission to protect and build financial and human capital, as well as facilitate the pursuit of philanthropic objectives. Cove manages both CORE and VENTURE exposures for the family, and invests both directly and through funds. Cove seeks to partner with like-minded families and firms to pursue growth initiatives. With continued growth comes the opportunity to give back. Cove does not seek outside investors but is rather looking for investment opportunities across a broad range of asset classes for protecting and growing wealth and is ideally seeking unique Private Equity and Venture Capital investment opportunities.",2nd Tier Connections,"TC: Pete Mattoon;
",checked
McCullen Capital LLC,Boston,"$300,000,000.00 ",https://www.linkedin.com/company/mccullen-capital/about/,https://www.mccullencapital.com,,Boston,"McCullen Capital (MCAP) is a family office whose mission is to invest and manage the assets of the McCullen family. The firm does not provide financial services or advice to others. MCAP investments include portfolios of public securities, private equities, fund investments and real estate.",Nada,,
Antaeus Wealth Advisors,Boston,"$250,000,000.00 ",https://www.linkedin.com/company/antaeus-wealth-advisors-llc/people/,http://www.antaeuswealth.com,"Evan Welch, CIO:  
",Boxborough,"Antaeus Wealth Advisors, LLC, formerly Sohn & Associates, is an integrated investment and financial planning firm based in Boxborough, Massachusetts",Nada,,
"BHC Advisors, LLC",Boston,"$250,000,000.00 ",can't find anything,https://n/a,can't find anything,Boston,"BHC Advisors is a Boston-based Single Family Office. With a 30 year track record in private equity, we focus a significant portion of our time and capital on sourcing direct private investments across a variety of industries, sectors, geographies and stages. Ideally, we seek opportunities to partner with well-run, growing businesses for the long-term.",Nada,,
Powerhouse Capital,Boston,"$250,000,000.00 ",NA,http://www.powerhousecapitalllc.com,"NA - POWERHOUSE CAPITAL IS A MULTI-STRATEGY ALTERNATIVE INVESTMENT FIRM SPECIALIZING IN COMMERCIAL AVIATION FINANCE. 
",Boston,"Powerhouse Capital is a multi-strategy alternative investment firm specializing in commercial aviation finance. Using deep industry relationships, Powerhouse seeks to deliver superior cash returns to our investors through the acquisition and leasing of attractively priced assets. Powerhouse Capital is also a global leader in leased CFM56 engines; one of the most reliable aviation engines in the world.",,,
Sombra Capital Management LLC,Boston,"$250,000,000.00 ",,https://sombracapital.com/,,Boston,"Sombra Capital Management is a private investment firm focused on healthcare, technology, industrials and business services. Sombra is comprised of long-term oriented investors and talented operators, who each bring deep sector expertise and complimentary skill sets. Sombra's strategy is to work closely with portfolio companies to drive measurable value for all stakeholders.",,,
SB Investment Partners,Boston,"$250,000,000.00 ",,https://www.sbipfo.com/,Suva Bhaumik: connected to Kurt Goetjen of KPMG,Winchester,"SB Investment Partners is a Family Office involved in: Hard asset investing - real estate development projects, raw land, as well as providing bridge financing. Direct investments into Europe and South America, Venture Capital and early phase angel investing. Private wealth management - high net worth clients & ultra high net worth clients",2nd Tier Connections,,
Paul McCoy Family Offices LLC,Boston,"$250,000,000.00 ",https://www.linkedin.com/company/paul-mccoy-family-office-services/about/,https://www.paul-mccoy.com,,Boston,"Located in the heart of Back Bay, Paul | McCoy is an exclusive multi-family office. Our partners have over 50 years of experience serving the needs of high net worth individuals and families.",2nd Tier Connections,"TC: Will Tessier:  connect with Emily Paul (with Pash Obeng reference) or Ton Ton russell
",
Beamonte Investments,Boston,"$250,000,000.00 ",https://www.linkedin.com/company/beamonte/people/,https://www.beamonte.com,in NYC	,Boston,"Beamonte Investments is a private investment firm as Single Family Office (SFO). We have no outside limited partners and approach all investments with a long-term perspective. The firm seeks to deliver consistent, long-term, risk-adjusted returns by investing across multiple alternative asset classes. Beamonte Investments is a private investment firm founded in 2000 that has specialized in private equity investments, advisory services and structured lending. Since inception, the firm has executed, as principal and agent, over US$6 billion in transactions We have no outside limited partners and approach all investments with a long-term perspective. Areas of concentration are growth equity investments and alternative assets. We are active investors in private growth companies across sectors, favoring recurring revenue, capital efficiency, and protective moats. Our structure allows us to respond to special situations without mandate constraints or fundraising concern.",2nd Tier Connections,,
Monument Bay Capital Partners,Boston,"$200,000,000.00 ",https://www.linkedin.com/company/monument-bay-capital-partners/about/,https://www.monbaycap.com/,NA,Boston,"Monument Bay Capital Partners is a Boston based private investment firm. We lead investments in exceptional Lower Middle Market manufacturing, distribution, healthcare, business services and consumer products companies throughout the continental United States. Monument Bay Capital Partners is not a traditional private equity fund. Our highly experienced team, operating independent of a single funding source or investment structure, is uniquely positioned to evaluate each opportunity on its investment merits and craft a tailored solution that addresses the needs of all stakeholders. Beyond the extensive investment experience and knowledge of our principals, a strong network of co-investors and independent advisors are available to our team on a situational basis.",2nd Tier Connections,,
Migration Capital LLC,Boston,"$200,000,000.00 ",https://www.linkedin.com/company/migration-capital-llc/people/,https://www.migrationcapital.com/,Rod W. who was the CIO was on the board at Cathedral HS - Paul Chisholm is the Chairman there I think. 	,Needham,"Founded in 2000, Migration Capital is a private investment company based in the Greater Boston Area. We invest across all asset classes, with emphasis on private markets and alternatives investments.",2nd Tier Connections,,
"Kensington Capital Holdings, LLC",Boston,"$200,000,000.00 ",https://www.linkedin.com/company/kensington-capital-holdings/people/,http://www.kensingtoncapital.com/,looks like this is the Kraft family?	,Foxboro,"Kensington Capital Holdings is a Single Family Office that was created in 2008. Our investment activities range from investing in managed private equity funds, managed public equity & hedge funds as well as direct investments into operating companies.",2nd Tier Connections,,
Riverforce Partners Inc,Boston,"$150,000,000.00 ",,https://www.riverforce.com/,NA,Boston,"RiverForce Partners, Inc. is a privately-held investment and advisory firm focused on emerging growth industries in developed markets. We advise and invest in a select array of private and public companies across various stages and asset classes, with business operations based within developed countries such as the U.S. and select parts of Europe.",Nada,,
Fox Rock Capital,Boston,"$150,000,000.00 ",https://www.linkedin.com/company/fox-rock-capital/people/,https://www.linkedin.com/company/fox-rock-capital/,,Quincy,"Fox Rock Capital is the single family office of Rob Hale founding owner of FoxRock Properties, a commercial real estate firm, and is co-owner of the NBA's Boston Celtics and Boston Cannons of the MLL. At the forefront of urban renewal, FoxRock is actively participating in the rapid revitalization of Quincy, MA. This dynamic involvement includes the development of new medical facilities, commercial spaces, and residential properties. FoxRock's contributions play a pivotal role in transforming Quincy into a thriving hub with a balanced blend of modern amenities.",2nd Tier Connections,,
The 1911 Trust Company,Boston,"$100,000,000.00 ",https://www.linkedin.com/company/the-1911-trust-company-llc/,https://www.1911trust.com/,i've met alex raffols - he was at the nextview agm,Beverly,"For over 100 years and four generations, The 1911 Trust Company has provided personalized trust, wealth management and multi-generational family office services to ensure family legacies are managed prudently for the future.",Moved to Affinity,,
Streamline Family Offices LLC,Boston,"$100,000,000.00 ",https://www.linkedin.com/company/streamlinefamilyoffice/people/,https://www.streamlinefamilyoffice.com,,Dover,Streamline is a boutique service firm that provides professional and personalized wealth administration to a select group of UHNW [$2B+ AUS - assets under supervision] individuals and families.,Nada,,
Schooner Capital LLC,Boston,"$100,000,000.00 ",https://www.linkedin.com/company/schooner-capital/people/,http://www.schoonercapital.com,Appear to have built a vc arm going direct into companies. ,Boston,"Founded in 1971, Schooner Capital is a Boston-based investment firm active in private companies and public securities.",1st Tier Connections,,
"The Erskine Company, LLC",Boston,"$100,000,000.00 ",https://www.linkedin.com/company/the-erskine-company/,http://erskineco.com,	,Worcester,"The Erskine Company provides legal and fiduciary services for unique assets. Handling as many as seven generations of a single family in succession, these assets include privately held businesses, trusts, real estate, numismatic collections, fine art and Americana collections.",Nada,,
Sparta Group LLC,Boston,"$100,000,000.00 ",https://www.linkedin.com/company/sparta-group-llc/people/,https://spartagroupllc.com,bunch of GP connections not in our portfolio,Stoneham,"Sparta Group LLC is the multi-generational investment office of Gururaj ""Desh"" Deshpande. Desh has been an entrepreneur and investor spanning several decades. Sparta Group LLC serves as his vehicle to continue to invest in extraordinary founders. Under Desh's leadership, a number of companies have been taken public or sold, including Cascade Communications, Sycamore Networks, Airvana, and Tejas Networks. Leveraging Sparta's internal technology expertise across multiple domains, combined with a global network of partners and experts, Sparta continues to build on Desh's success investing in the next generation of thought leaders bringing unique insights to solving big problems.",2nd Tier Connections,,
Mousse Partners,NYC,"$89,000,000,000.00 ",,https://www.moussepartners.com/,,New York,"Chanel Family Office, Alain and Gerard Wertheimer. Run by Charles Heilbronn, half brother of Alain and Gerard. Mousse Partners is the investment division of Mousse Investments Limited, formerly known as Litor Limited, which was established in 1979. Mousse Partners is responsible for investing proceeds, including dividends, distributed by Chanel Limited, a UK company. Mousse Partners manages its global, diversified portfolio across a broad range of asset classes in public and private markets with a long-term investment horizon. We value deep and long-standing relationships, partnering with select external investment managers as well as investing directly alongside high quality management teams, entrepreneurs, and other institutional investors. Mousse Partners has offices in New York City, Beijing, Hong Kong and the Cayman Islands.",,,
DFO Management (Dell Family Office),NYC,"$31,000,000,000.00 ",,https://www.dellfamilyoffice.com/,,New York,"DFO Management, LLC (“DFO”), is the family investment office of Dell Technologies Founder, Chairman, and CEO Michael Dell and his family. DFO engages in a broad range of investment activities with flexibility to invest in a wide variety of asset classes. The Dell family office was initially established in 1998 as MSD Capital, L.P., and was restructured as DFO at the end of 2022.",,,
Soros Family Office,NYC,"$25,000,000,000.00 ",,https://soros.com,,New York,"Soros Family Office is the investment management firm that oversees the personal wealth and investments of billionaire investor and philanthropist George Soros and his family. CIO, Dawn Fitzpatrick, manages over $25B in assets. In addition to managing investments, the Soros family, through their family office, has been actively involved in philanthropy. The Open Society Foundations, founded by George Soros, is a major philanthropic organization that supports initiatives related to human rights, democracy, and social justice.",,,
Euclidean Capital,NYC,"$21,600,000,000.00 ",,https://www.simonsfoundation.org/,,New York,"Euclidean Capital stands as the family office of the renowned hedge fund billionaire, James Simons. Built on a foundation of discretion, Euclidean is known for its strategic investment approach and is a key player in the financial landscape, managing the wealth of James Simons, whose net worth exceeds $28 billion, according to Forbes.",,,
Brandywine Group Advisors,NYC,"$13,000,000,000.00 ",,http://brandywinetrust.com/organization/brandywine-group-advisors-inc/,,New York,"Brandywine Group Advisors is a family office, responsible for approximately $13 billion of capital. Brandywine manages a diversified, endowment-like portfolio with a multi-generational long-term horizon.",,,
Stetson Family Office,NYC,"$12,000,000,000.00 ",,https://www.stetsonfamilyoffice.com/,,New York,"Stetson Family Office has formed two foundations: Essentials in Education (EIE) and Healthcare Impact Foundation (HCIF). EIE is building global platforms in education addressing the increasing gap between what young people need to know and what they are taught. HCIF's goal is to reduce healthcare costs globally and rebuild the private equity healthcare ecosystem. Stetson Family Office also manages money for separate accounts in private equity. Chuck Stetson is the third generation to run the family office. He is focused on private equity investments and leases with family offices around the globe in his role as the head of the Association for Corporate Growth (ACG) Global Family Office Council. He has also set up a philanthropic organization, Essentials in Education, which provides world class educational content on Flourishing Through Business.",,,
Elysium Management,NYC,"$9,000,000,000.00 ",,https://N/A,,New York,"Family office for Leon Black, co-founder of Apollo.",,,
Willett Advisors LLC,NYC,"$7,850,216,969.00 ",,https://www.willettadvisors.com,,New York,"Willett Advisors LLC manages the philanthropic assets of Michael R. Bloomberg, including the assets of Bloomberg Philanthropies. The firm has its headquarters in New York. The firm's objective is to achieve long-term capital appreciation through the construction of a diversified investment portfolio.",,,
Grassy Creek LLC,NYC,"$5,000,000,000.00 ",,,,New York,"Grassy Creek LLC is a multifaceted investment firm with a primary focus on asset management, property management, and technology ventures. Founded by a group of ultra-high-net-worth individuals, the firm is structured as a first-generation single-family office. Grassy Creek operates internationally, with offices in London, Amsterdam, Crested Butte, New York, and the Bay Area. The firm's philosophy is deeply rooted in a spirit of creativity and entrepreneurial thinking, aiming to transform ambitious ideas into reality.",,,
Willoughby Capital,NYC,"$5,000,000,000.00 ",,https://www.willcapllc.com/,,New York,"Established in 2009, it manages a global portfolio of venture capital, private equity, public market, and real estate investments, supported by a group of dedicated investment professionals.",,,
Seven Valleys LLC,NYC,"$5,000,000,000.00 ",,https://www.sevenvalleys.com/,,New York,"Seven Valleys is a New York City-based family office. The family office allocate across various asset classes including commercial real estate, public equities, fixed income, venture capital, and private equity.",,,
HRS Management,NYC,"$4,700,000,000.00 ",,http://www.hrsmgmt.com/,"Steve Kaseta, CIO: connected to Jim Maynard, Elliot Herman and Rich Brekka
",New York,"HRS Management, LLC, established in 2010, is the private investment office of Josh Harris, co-founder of Apollo Global Management, Inc. It maintains a diverse portfolio, investing across various industries, strategies, and asset classes. HRS has offices in New York City and Miami. The firm played a significant role in the growth of The Hill, transforming it into a digital media powerhouse before its acquisition by Nexstar Media Group, reflecting HRS Management's successful investment and partnership strategies​​.",2nd Tier Connections,"TC:  rich Brekka, others
",
Wildcat Capital Management,NYC,"$3,637,983,638.00 ",https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Aorganization%3A3719996&keywords=wildcat%20capital%20management&origin=RICH_QUERY_SUGGESTION&position=0&searchId=4f4c4612-2e96-441f-a03d-1764f6627c7e&sid=vcx&spellCorrectionEnabled=false,https://www.wildcatcap.com/,"Len Potter, Pres/CIO:  connected to Dan Winston
Drew Tarlow, Head of Privates: connected to Byron Ling, Jon Karlen, 
",New York,"Wildcat Capital Management was founded in 2011 by Len Potter with the purpose of managing capital for the founding partner of TPG Capital, David Bonderman. Wildcat Capital Management focuses on diversified investment strategies across different sectors, including growth and buyout investments. They aim for long-term partnerships with management teams, offering strategic insights and a deep network to foster opportunity. Their investment approach is flexible, targeting companies that might not fit traditional private equity or venture capital parameters, across industries like automotive services and fertility. Wildcat's philosophy emphasizes building enduring relationships and investing with a patient, strategic outlook Len isn't a candidate for fund investing but might be open to co-investments.",1st Tier Connections,JT: ,checked
Omega Family Office,NYC,"$3,600,000,000.00 ",,https://N/A,"Leon Cooperman, minimal info",New York,"Leon Cooperman, after a notable career at Goldman Sachs and running Omega Advisors, transitioned Omega Advisors into a family office at the end of 2018. At the time of its conversion, Omega had $3.6 billion in assets, with more than half of this being general partner capital. Cooperman's extensive career in finance began at Goldman Sachs, where he spent 22 years, eventually becoming the partner-in-charge of the Investment Research Department, co-chairman of the Investment Policy Committee, and chairman of the Stock Selection Committee.",Nada,,
Portage Partners,NYC,"$3,000,000,000.00 ",https://www.linkedin.com/search/results/all/?fetchDeterministicClustersOnly=true&heroEntityKey=urn%3Ali%3Aorganization%3A5026736&keywords=portage%20partners&origin=RICH_QUERY_SUGGESTION&position=1&searchId=170b9a28-b36b-4e54-b60d-907bbf6f9f2b&sid=D4X&spellCorrectionEnabled=false,https://www.portagepartners.com,"Sam Klatt, CIO: connected to Philip Bilden, Kakenmaster, Brian Gaister, Rich Brekka, 
Michael Leffler, founder, Chm:  Rich Brekka, 
Jacob Kerzner, Investor: connected to Nick/Itai (LGVP), Philip Bilden, Tom Melly, Rich Brekka, Lee Edwards, Robert Hatta, ",New York,"Portage Partners is a New York based firm focused on sourcing, evaluating, and monitoring a broad array of alternative funds and direct investment opportunities. The firm was founded in 2010 as a family office for Michael Leffell and has developed into a leading non-discretionary investment platform for a client base of active and semi-retired investors.",1st Tier Connections,"JT
",
Midori Management,NYC,"$3,000,000,000.00 ",https://www.linkedin.com/in/jacquelineholmes/,https://N/A,"Jacqui Holmes: connected to cheryl Kiser (Babson), Morgan Jones, ",New York,"Founded Midori Management in 2001. $3billion+ AUM, exclusively from the 2 families I founded the firm to manage capital for; we have discretion over this capital and do not accept any outside capital/additional clients.",2nd Tier Connections,"TC: Cheryl kiser
",
Roystone Capital Management Lp,NYC,"$2,606,743,241.00 ",,HTTP://WWW.ROYSTONECAPITAL.COM/,"Richard Berrera, Founder
Jennifer Koch, Sr. Inv. Partners	",New York,,Nada,,
Winklevoss Capital Management LLC,NYC,"$2,500,000,000.00 ",,https://winklevosscapital.com/,,New York,"At Winklevoss Capital, we believe in determined entrepreneurs. Risk-taking is just in their blood. By providing guidance, relationships and capital, we reinforce their pursuit of a frictionless world and a better human experience. Because those who dare to fail greatly, dare to achieve greatly.",,,
CaaS Capital Management,NYC,"$2,500,000,000.00 ",,http://www.caascap.com,,New York,"CaaS Capital Management is a single family office. By utilizing meticulous risk controls and diversification, we adeptly navigate the ever-evolving market landscape. Our overarching objective is to cultivate mutually advantageous relationships among all our stakeholders, including the founding family, employees, external partners, and portfolio companies all while remaining true to our family's core values of effecting positive change in the world through our investment endeavors.",,,
Jefferson River Capital LLC,NYC,"$2,500,000,000.00 ",,https://N/A,,New York,"JRC is a single family office for Ex-COO of Blackstone, Tony James, based in New York and includes a dedicated direct private equity investment platform.",,,
Ziff Capital Partners,NYC,"$2,000,000,000.00 ",,https://N/A,,New York,"Ziff Capital Partners is a venture capital firm and family office that was founded after the Ziff Family closed their United States and London, United Kingdom based hedge funds in 2014. Founded by Dirk Ziff, the eldest brother of the third-generation Ziff brothers (Daniel, Robert and Dirk), Ziff Capital Partners is based in New York City. Co-founder of the firm, Nicholas Seaver, is the Managing Director, in charge of fundamental value orientation, deal sourcing, due diligence, sector analysis and investment strategy. Ziff Capital Partners implements a fundamental long-short investing with a variety of sector exposures to technology and energy.",,,
Lupa Systems,NYC,"$2,000,000,000.00 ",,http://lupasystems.com/,,New York,"Lupa Systems stands as the private investment holding company spearheaded by James Murdoch, renowned for his tenure as Chief Executive Officer of 21st Century Fox, overseeing a vast portfolio of premier cable, broadcast, film, pay-TV, and satellite assets. With offices strategically located in New York and Mumbai, Lupa Systems embodies a global outlook, leveraging its expertise and resources to drive innovation and create value across diverse sectors. Lupa Systems has forged strategic partnerships, such as with seed-stage venture-capital firm Betaworks, to drive innovation and incubate promising startups. The collaboration focuses on nurturing 'humane tech' ventures that combat fake news, abuse, and spam on social networks, demonstrating a commitment to fostering responsible technology usage and societal well-being. Lupa Systems has made strategic investments in leading media and technology ventures, including stakes in Vice Media Group and location-based VR startup The Void. Additionally, through partnerships like the one with Attention Capital, Lupa Systems expands its reach and influence, acquiring a controlling stake in Tribeca Enterprises, thereby reinforcing its position as a key player in the media and entertainment landscape. It was funded, in part, by the $2B in proceeds James Murdoch received from the $71bn sale of most of the Murdoch family's 21st Century Fox empire to Disney.",,,
Fingerboard Family Office,NYC,"$2,000,000,000.00 ",,https://N/A,,New York,The of the Newhouse Family that owns Advance which is a media company that include Vogue and many others.,,,
Lalia Capital,NYC,"$2,000,000,000.00 ",,https://www.laliacapital.com/,,New York,"Lalia Capital is a private investment firm focused on principal investments across public and private markets on a global basis. Within private market strategies, they won't typically start investing in a manager until Fund III or IV.",,,
Beitel Group,NYC,"$2,000,000,000.00 ",,https://beitel.com/,,Brooklyn,"Beitel Group, a single-family office with a 75-year performance heritage, specializes in value-add multifamily and development projects. With over $2B in current assets under their portfolio, they manage over 10,000 residential and commercial units across US markets.",,,
Kactus Capital,NYC,"$2,000,000,000.00 ",,https://kactuscapital.com,,New York,Kactus Capital is a private investment firm focused on making principal investments across public and private markets on a global basis. We partner for the long term with best in class external investment managers and invest in co-investments and direct investments. Kactus Capital was nominated for Family Office of the Year 2019 by Institutional Investor.,,,
The Observatory,NYC,"$2,000,000,000.00 ",,http://www.observatoryinc.com/,,Whitestone,The Observatory is the single family office of the founder of Glaceau (makers of Vitaminwater and Smartwater) The firm's investment mission is to find high caliber emerging managers who perform well in all market environments. The Observatory is looking for managers who annualize at a minimum 15% annualized returns with controlled drawdowns of 10%. Annualized return to max drawdown should be at a ratio of 1.5X.,,,
